Rank,Zip Code,Population
400,07648,5819
401,07677,5816
402,07826,5771
403,08510,5753
404,07850,5704
405,07757,5667
406,07662,5613
407,08059,5612
408,08049,5491
409,08091,5487
410,07632,5450
411,07416,5432
412,08518,5414
413,07647,5412
414,08826,5361
415,08230,5342
416,08343,5288
417,08853,5243
418,07082,5192
419,08551,5157
420,08559,5110
421,07420,5100
422,08867,5097
423,07058,5068
424,07848,5059
425,08514,5046
426,07856,5028
427,08007,5020
428,07014,4971
429,07627,4959
430,08027,4839
431,07732,4834
432,08344,4818
433,08525,4788
434,07640,4761
435,08056,4755
436,08535,4711
437,08730,4709
438,08880,4550
439,08641,4478
440,08562,4460
441,08029,4435
442,08751,4379
443,07027,4334
444,08825,4327
445,07046,4288
446,07457,4226
447,07720,4223
448,08089,4195
449,08223,4185
450,07440,4169
451,18343,4155
452,07064,4139
453,07758,4113
454,07423,4101
455,07702,4088
456,08827,4085
457,07852,4084
458,07827,4078
459,08802,4035
460,08554,3947
461,07737,3939
462,07927,3879
463,08735,3874
464,07863,3830
465,08836,3766
466,07832,3633
467,08560,3623
468,07803,3560
469,08829,3558
470,08092,3476
471,07641,3418
472,07460,3407
473,08242,3241
474,07857,3237
475,07933,3231
476,08097,3213
477,07750,3211
478,07946,3175
479,07931,3174
480,07838,3161
482,08750,3117
483,08327,3087
484,08063,3072
485,08314,3020
486,07721,3003
487,08061,2943
488,08045,2806
489,08020,2742
490,07074,2739
491,08733,2713
492,08832,2706
493,08741,2640
494,07435,2629
495,07606,2580
496,08804,2540
497,07505,2423
498,07439,2396
499,07077,2318
500,08341,2305
501,07418,2304
502,08240,2293
503,08828,2283
504,07980,2253
505,08311,2252
506,08026,2217
507,08752,2204
508,07021,2180
509,07865,2024
510,08243,1955
511,07717,1761
512,08740,1733
513,07847,1731
514,08349,1658
515,07934,1603
516,08067,1591
517,08317,1579
518,07711,1570
519,07620,1521
520,08326,1498
521,08202,1495
522,10969,1379
523,08732,1357
524,08310,1270
525,08340,1251
526,08328,1239
527,08738,1164
528,08319,1159
529,08241,1153
530,08019,1115
531,08320,1091
532,08887,1004
533,08247,984
534,08041,978
535,08001,977
536,08403,967
537,08608,893
538,08511,867
539,07878,803
540,08555,802
541,08720,770
542,07822,723
544,07976,653
545,07977,634
546,08350,629
547,08352,615
548,08323,613
549,08553,598
550,08345,566
551,08014,548
552,08224,538
553,07979,440
554,07935,420
555,07311,404
556,08316,384
557,08821,377
558,08353,374
559,08006,344
560,08072,333
561,08561,320
562,08023,312
563,08324,282
564,07880,263
565,08329,248
566,08248,242
567,08042,213
568,07939,212
569,08073,203
570,08064,192
572,07970,178
573,07833,149
575,08808,142
576,08039,131
577,07608,107
578,07842,93
579,08246,87
580,08528,86
581,08038,83
582,07851,65
583,07703,57
585,07846,35
586,07870,28
587,08217,25
588,08011,20
590,07926,11
591,07881,6
237,07078 ,13097
237, 08009,13097
481,07756 ,3133
481, 07088,3133
543,07723 ,695
543, 08346,695
571,08212 ,188
571, 08348,188
574,08858 ,147
574, 08321,147
584,07820 ,36
584, 08095,36
589,08074 ,15
589, 08890,15
