,Unnamed: 0,School ID,City,Zip Code,2018 Rank,2018 Rank Stars,2018 Rank Level,2018 Avg Score,School Level
145,45,340882006052,Livingston,7039,101,5,Elementary,89.23321999999999,Elementary
146,46,340771004608,Island Heights,8732,101,5,Elementary,89.23321999999999,Elementary
147,47,340342001478,Collingswood,8108,101,5,Elementary,89.23321999999999,Elementary
148,48,341521000509,Monmouth Junction,8852,101,5,Elementary,89.23321999999999,Elementary
149,49,340639001556,Haddonfield,8033,101,5,Elementary,89.23321999999999,Elementary
150,0,340741003856,Holmdel,7733,151,4,Elementary,86.58081999999999,Elementary
151,1,340987001120,Medford,8055,151,4,Elementary,86.58081999999999,Elementary
152,2,340285002030,Cedar Grove,7009,151,4,Elementary,86.58081999999999,Elementary
153,3,340009000829,Somerset,8873,151,4,Elementary,86.58081999999999,Other
154,4,340753003140,Pennington,8534,151,4,Elementary,86.58081999999999,Elementary
155,5,340723005228,Hillsborough,8844,151,4,Elementary,86.58081999999999,Elementary
156,6,340597000486,Glen Rock,7452,151,4,Elementary,86.58081999999999,Elementary
157,7,341776005774,Westfield,7090,151,4,Elementary,86.58081999999999,Elementary
158,8,341698005306,Warren,7059,151,4,Elementary,86.58081999999999,Elementary
159,9,341365004488,Randolph,7869,151,4,Elementary,86.58081999999999,Elementary
160,10,340228006047,Basking Ridge,7920,151,4,Elementary,86.58081999999999,Elementary
161,11,340399000342,Dumont,7628,151,4,Elementary,86.58081999999999,Elementary
162,12,341338000204,Port Republic,8241,151,4,Elementary,86.58081999999999,Elementary
163,13,340002500291,Newark,7104,151,4,Elementary,86.58081999999999,Elementary
164,14,340198004162,Boonton,7005,151,4,Elementary,86.58081999999999,Elementary
165,15,340633001534,Haddon Heights,8035,151,4,Elementary,86.58081999999999,Elementary
166,16,340150000276,Bergenfield,7621,151,4,Elementary,86.58081999999999,Elementary
167,17,341248004448,Morris Plains,7950,151,4,Elementary,86.58081999999999,Elementary
168,18,340073403037,Hoboken,7030,151,4,Elementary,86.58081999999999,Elementary
169,19,341425002418,Roseland,7068,151,4,Elementary,86.58081999999999,Elementary
170,20,341218000676,Old Tappan,7675,151,4,Elementary,86.58081999999999,Elementary
171,21,340972006030,Marlboro,7746,151,4,Elementary,86.58081999999999,Elementary
172,22,341104005588,Mountainside,7092,151,4,Elementary,86.58081999999999,Middle
173,23,341719005316,Watchung,7069,151,4,Elementary,86.58081999999999,Elementary
174,24,341674002458,Verona,7044,151,4,Elementary,86.58081999999999,Elementary
175,25,340357005470,Cranford,7016,151,4,Elementary,86.58081999999999,Elementary
176,26,340126000141,Bayonne,7002,151,4,Elementary,86.58081999999999,Elementary
177,27,340783002786,Jersey City,7302,151,4,Elementary,86.58081999999999,Elementary
178,28,341011004000,Atlantic Highlands,7716,151,4,Elementary,86.58081999999999,Elementary
179,29,341206004066,Asbury Park,7712,151,4,Elementary,86.58081999999999,Elementary
180,30,341698005310,Warren,7059,151,4,Elementary,86.58081999999999,Elementary
181,31,341770003262,West Windsor,8550,151,4,Elementary,86.58081999999999,Elementary
182,32,341188002388,Nutley,7110,151,4,Elementary,86.58081999999999,Elementary
183,33,340939003928,Manalapan,7726,151,4,Elementary,86.58081999999999,Elementary
184,34,340002400289,Newark,7102,151,4,Elementary,86.58081999999999,Other
185,35,340411003302,East Brunswick,8816,151,4,Elementary,86.58081999999999,Elementary
186,36,341248000241,Mount Tabor,7878,151,4,Elementary,86.58081999999999,Elementary
187,37,340882002134,Livingston,7039,151,4,Elementary,86.58081999999999,Elementary
188,38,341290004474,Pompton Plains,7444,151,4,Elementary,86.58081999999999,Elementary
189,39,340537000532,Franklin Lakes,7417,151,4,Elementary,86.58081999999999,Elementary
190,40,340735002756,Hoboken,7030,151,4,Elementary,86.58081999999999,Elementary
191,41,340867000150,Linwood,8221,151,4,Elementary,86.58081999999999,Elementary
192,42,341698000244,Warren,7059,151,4,Elementary,86.58081999999999,Elementary
193,43,340381006085,Demarest,7627,151,4,Elementary,86.58081999999999,Elementary
194,44,340723005232,Hillsborough,8844,151,4,Elementary,86.58081999999999,Elementary
195,45,341050002982,Monroe Township,8831,151,4,Elementary,86.58081999999999,Elementary
196,46,341521003614,Kendall Park,8824,151,4,Elementary,86.58081999999999,Elementary
197,47,340073103022,Roebling,8554,151,4,Elementary,86.58081999999999,Elementary
198,48,341782000914,Township Of Washington,7676,151,4,Elementary,86.58081999999999,Elementary
199,49,340228005168,Bridgewater,8807,151,4,Elementary,86.58081999999999,Elementary
200,0,341557004106,Spring Lake,7762,201,4,Elementary,83.40661,Elementary
201,1,340183002002,Bloomfield,7003,201,4,Elementary,83.40661,Elementary
202,2,340975003972,Aberdeen,7747,201,4,Elementary,83.40661,Elementary
203,3,340723005226,Hillsborough,8844,201,4,Elementary,83.40661,Elementary
204,4,340228005170,Bridgewater,8807,201,4,Elementary,83.40661,Elementary
205,5,340525004236,Florham Park,7932,201,4,Elementary,83.40661,Elementary
206,6,341371003032,Three Bridges,8887,201,4,Elementary,83.40661,Elementary
207,7,340001500259,Teaneck,7666,201,4,Elementary,83.40661,Elementary
208,8,340990004314,Mendham,7945,201,4,Elementary,83.40661,Elementary
209,9,341062000618,Montvale,7645,201,4,Elementary,83.40661,Elementary
210,10,341536003636,South Plainfield,7080,201,4,Elementary,83.40661,Elementary
211,11,340165006021,Basking Ridge,7920,201,4,Elementary,83.40661,Elementary
212,12,341617000545,Califon,7830,201,4,Elementary,83.40661,Elementary
213,13,340726000528,Hillsdale,7642,201,4,Elementary,83.40661,Elementary
214,14,341467005692,Scotch Plains,7076,201,4,Elementary,83.40661,Elementary
215,15,341011003998,Middletown,7748,201,4,Elementary,83.40661,Elementary
216,16,341761002492,West Orange,7052,201,4,Elementary,83.40661,Elementary
217,17,340753003142,Hopewell,8525,201,4,Elementary,83.40661,Elementary
218,18,341563005704,Springfield,7081,201,4,Elementary,83.40661,Elementary
219,19,341065004334,Towaco,7082,201,4,Elementary,83.40661,Elementary
220,20,341665001760,Marmora,8223,201,4,Elementary,83.40661,Elementary
221,21,341761000182,West Orange,7052,201,4,Elementary,83.40661,Elementary
222,22,340387004202,Denville,7834,201,4,Elementary,83.40661,Elementary
223,23,341686000890,Waldwick,7463,201,4,Elementary,83.40661,Elementary
224,24,341242000400,Paramus,7652,201,4,Elementary,83.40661,Elementary
225,25,341590005716,Summit,7901,201,4,Elementary,83.40661,Elementary
226,26,340723005234,Hillsborough,8844,201,4,Elementary,83.40661,Elementary
227,27,341242000696,Paramus,7652,201,4,Elementary,83.40661,Elementary
228,28,340693000514,Hasbrouck Heights,7604,201,4,Elementary,83.40661,Elementary
229,29,341248000401,Lake Hiawatha,7034,201,4,Elementary,83.40661,Elementary
230,30,340669004256,Morris Plains,7950,201,4,Elementary,83.40661,Elementary
231,31,340933000492,Mahwah,7430,201,4,Elementary,83.40661,Elementary
232,32,340450003348,Edison,8817,201,4,Elementary,83.40661,Elementary
233,33,341836000946,Wyckoff,7481,201,4,Elementary,83.40661,Elementary
234,34,341305000042,Piscataway,8854,201,4,Elementary,83.40661,Elementary
235,35,340002600292,Newark,7104,201,4,Elementary,83.40661,Elementary
236,36,340411003306,E Brunswick,8816,201,4,Elementary,83.40661,Elementary
237,37,341560004108,Spring Lake,7762,201,4,Elementary,83.40661,Elementary
238,38,340633001530,Haddon Heights,8035,201,4,Elementary,83.40661,Elementary
239,39,340939003936,Manalapan,7726,201,4,Elementary,83.40661,Elementary
240,40,341128000626,New Milford,7646,201,4,Elementary,83.40661,Elementary
241,41,340135001974,Belleville,7109,201,4,Elementary,83.40661,Elementary
242,42,341056002184,Montclair,7042,201,4,Elementary,83.40661,Elementary
243,43,340987006113,Medford,8055,201,4,Elementary,83.40661,Elementary
