,Unnamed: 0,School ID,City,Zip Code,2019 Rank,2019 Rank Level,2019 Avg Score,School Level
84,34,341782000910,Westwood,7675,17.0,Elementary,95.31042,Elementary
85,35,341065004338,Pine Brook,7058,17.0,Elementary,95.31042,Elementary
86,36,340597000482,Glen Rock,7452,17.0,Elementary,95.31042,Elementary
87,37,340882002136,Livingston,7039,17.0,Elementary,95.31042,Elementary
88,38,341728004970,Wayne,7470,17.0,Elementary,95.31042,Elementary
89,39,340594002098,Glen Ridge,7028,17.0,Elementary,95.31042,Elementary
90,40,340972003952,Morganville,7751,17.0,Elementary,95.31042,Elementary
91,41,341290004472,Pompton Plains,7444,17.0,Elementary,95.31042,Elementary
92,42,340153005442,Berkeley Hts,7922,17.0,Elementary,95.31042,Elementary
93,43,340000406019,Chatham,7928,17.0,Elementary,95.31042,Elementary
94,44,340882002142,Livingston,7039,17.0,Elementary,95.31042,Elementary
95,45,341683001676,Voorhees,8043,17.0,Elementary,95.31042,Elementary
96,46,340939003926,Manalapan,7726,17.0,Elementary,95.31042,Elementary
97,47,341770003260,West Windsor,8550,17.0,Elementary,95.31042,Elementary
98,48,340165005128,Basking Ridge,7920,17.0,Elementary,95.31042,Elementary
99,49,341611000868,Tenafly,7670,17.0,Elementary,95.31042,Elementary
100,0,340300001422,Cherry Hill,8034,176.0,Elementary,85.21240999999999,Elementary
101,1,341245000714,Park Ridge,7656,176.0,Elementary,85.21240999999999,Elementary
102,2,340450003342,Edison,8820,176.0,Elementary,85.21240999999999,Elementary
103,3,340000406018,Chatham,7928,176.0,Elementary,85.21240999999999,Elementary
104,4,340879003900,Little Silver,7739,176.0,Elementary,85.21240999999999,Elementary
105,5,340939000453,Manalapan,7726,176.0,Elementary,85.21240999999999,Elementary
106,6,341836000942,Wyckoff,7481,176.0,Elementary,85.21240999999999,Elementary
107,7,341359000738,Ramsey,7446,176.0,Elementary,85.21240999999999,Elementary
108,8,341212004074,Oceanport,7757,176.0,Elementary,85.21240999999999,Elementary
109,9,340450003356,Edison,8820,176.0,Elementary,85.21240999999999,Elementary
110,10,340639001560,Haddonfield,8033,176.0,Elementary,85.21240999999999,Elementary
111,11,341371003034,Whitehouse Station,8889,176.0,Elementary,85.21240999999999,Elementary
112,12,340360000328,Cresskill,7626,176.0,Elementary,85.21240999999999,Elementary
113,13,341038004018,Monmouth Beach,7750,176.0,Elementary,85.21240999999999,Elementary
114,14,340939003930,Manalapan,7726,176.0,Elementary,85.21240999999999,Elementary
115,15,341065004340,Montville,7045,176.0,Elementary,85.21240999999999,Elementary
116,16,340006400373,Newark,7102,176.0,Elementary,85.21240999999999,Elementary
117,17,341383000782,Ridgewood,7451,176.0,Elementary,85.21240999999999,Elementary
118,18,340360000326,Cresskill,7626,176.0,Elementary,85.21240999999999,Elementary
119,19,341359000736,Ramsey,7446,176.0,Elementary,85.21240999999999,Elementary
120,20,341590005712,Summit,7901,176.0,Elementary,85.21240999999999,Elementary
121,21,341389000794,River Edge,7661,176.0,Elementary,85.21240999999999,Elementary
122,22,340969000393,Margate City,8402,176.0,Elementary,85.21240999999999,Elementary
123,23,340411003318,East Brunswick,8816,176.0,Elementary,85.21240999999999,Elementary
124,24,341821000934,Woodcliff Lake,7677,176.0,Elementary,85.21240999999999,Elementary
125,25,341611000866,Tenafly,7670,176.0,Elementary,85.21240999999999,Elementary
126,26,341065004342,Montville,7045,176.0,Elementary,85.21240999999999,Elementary
127,27,340924004310,Madison,7940,176.0,Elementary,85.21240999999999,Elementary
128,28,341422004086,Roosevelt,8555,176.0,Elementary,85.21240999999999,Elementary
129,29,341770003264,Plainsboro,8536,176.0,Elementary,85.21240999999999,Elementary
130,30,340804004288,Kinnelon,7405,176.0,Elementary,85.21240999999999,Elementary
131,31,341467005684,Scotch Plains,7076,176.0,Elementary,85.21240999999999,Elementary
132,32,341782000916,Westwood,7675,176.0,Elementary,85.21240999999999,Elementary
133,33,340231003754,Brielle,8730,176.0,Elementary,85.21240999999999,Elementary
134,34,341611000874,Tenafly,7670,176.0,Elementary,85.21240999999999,Elementary
135,35,341383000778,Ridgewood,7451,176.0,Elementary,85.21240999999999,Elementary
136,36,341830000924,Wood Ridge,7075,176.0,Elementary,85.21240999999999,Elementary
137,37,340501002086,Fairfield,7004,176.0,Elementary,85.21240999999999,Elementary
138,38,340753003138,Titusville,8560,176.0,Elementary,85.21240999999999,Elementary
139,39,340003200302,Hoboken,7030,176.0,Elementary,85.21240999999999,Other
140,40,340354003282,Cranbury,8512,176.0,Elementary,85.21240999999999,Elementary
141,41,341698006106,Warren,7059,176.0,Elementary,85.21240999999999,Elementary
142,42,341245000712,Park Ridge,7656,176.0,Elementary,85.21240999999999,Elementary
143,43,340411003314,East Brunswick,8816,176.0,Elementary,85.21240999999999,Elementary
144,44,340723006068,Hillsborough,8844,176.0,Elementary,85.21240999999999,Elementary
145,45,340882006052,Livingston,7039,176.0,Elementary,85.21240999999999,Elementary
146,46,340771004608,Island Heights,8732,176.0,Elementary,85.21240999999999,Elementary
147,47,340342001478,Collingswood,8108,176.0,Elementary,85.21240999999999,Elementary
148,48,341521000509,Monmouth Junction,8852,176.0,Elementary,85.21240999999999,Elementary
149,49,340639001556,Haddonfield,8033,176.0,Elementary,85.21240999999999,Elementary
150,0,340741003856,Holmdel,7733,106.0,Elementary,89.43088,Elementary
151,1,340987001120,Medford,8055,106.0,Elementary,89.43088,Elementary
152,2,340285002030,Cedar Grove,7009,106.0,Elementary,89.43088,Elementary
153,3,340009000829,Somerset,8873,106.0,Elementary,89.43088,Other
154,4,340753003140,Pennington,8534,106.0,Elementary,89.43088,Elementary
155,5,340723005228,Hillsborough,8844,106.0,Elementary,89.43088,Elementary
156,6,340597000486,Glen Rock,7452,106.0,Elementary,89.43088,Elementary
157,7,341776005774,Westfield,7090,106.0,Elementary,89.43088,Elementary
158,8,341698005306,Warren,7059,106.0,Elementary,89.43088,Elementary
159,9,341365004488,Randolph,7869,106.0,Elementary,89.43088,Elementary
160,10,340228006047,Basking Ridge,7920,106.0,Elementary,89.43088,Elementary
161,11,340399000342,Dumont,7628,106.0,Elementary,89.43088,Elementary
162,12,341338000204,Port Republic,8241,106.0,Elementary,89.43088,Elementary
163,13,340002500291,Newark,7104,106.0,Elementary,89.43088,Elementary
164,14,340198004162,Boonton,7005,106.0,Elementary,89.43088,Elementary
165,15,340633001534,Haddon Heights,8035,106.0,Elementary,89.43088,Elementary
166,16,340150000276,Bergenfield,7621,106.0,Elementary,89.43088,Elementary
167,17,341248004448,Morris Plains,7950,106.0,Elementary,89.43088,Elementary
168,18,340073403037,Hoboken,7030,106.0,Elementary,89.43088,Elementary
169,19,341425002418,Roseland,7068,106.0,Elementary,89.43088,Elementary
170,20,341218000676,Old Tappan,7675,106.0,Elementary,89.43088,Elementary
171,21,340972006030,Marlboro,7746,106.0,Elementary,89.43088,Elementary
172,22,341104005588,Mountainside,7092,106.0,Elementary,89.43088,Middle
173,23,341719005316,Watchung,7069,106.0,Elementary,89.43088,Elementary
174,24,341674002458,Verona,7044,106.0,Elementary,89.43088,Elementary
175,25,340357005470,Cranford,7016,106.0,Elementary,89.43088,Elementary
176,26,340126000141,Bayonne,7002,106.0,Elementary,89.43088,Elementary
177,27,340783002786,Jersey City,7302,106.0,Elementary,89.43088,Elementary
178,28,341011004000,Atlantic Highlands,7716,106.0,Elementary,89.43088,Elementary
