Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft
0.0,0.0,26.2,26.2,26.2,549.4,26.2
0.0,0.0,0.0,73.0,16.2,405.79999999999995,72.9
10.2,10.2,81.5,254.70000000000002,275.0,448.2,91.69999999999999
0.0,22.0,26.3,57.0,122.5,875.0999999999999,87.5
0.0,0.0,0.0,39.599999999999994,0.0,79.3,0.0
0.0,6.0,18.0,66.1,156.5,1749.8999999999999,84.2
0.0,22.2,0.0,22.2,66.6,1020.2,88.8
0.0,0.0,18.1,30.1,138.8,1097.8000000000002,42.2
0.0,33.6,16.8,0.0,202.0,572.4,67.3
11.5,46.0,34.5,91.9,321.29999999999995,1010.1,183.70000000000002
0.0,11.0,17.6,30.8,114.69999999999999,897.5,28.6
0.0,0.0,0.0,0.0,0.0,378.0,0.0
0.0,39.2,0.0,54.89999999999999,133.4,329.4,15.6
12.4,28.0,71.6,168.1,339.29999999999995,809.3000000000001,87.1
0.0,16.4,24.5,97.9,81.6,1199.8,81.6
0.0,0.0,35.0,58.4,116.5,303.1,116.6
0.0,42.7,90.60000000000001,149.2,218.4,1449.0000000000002,165.1
0.0,8.4,4.2,46.6,114.60000000000001,394.79999999999995,12.7
0.0,0.0,0.0,75.1,100.1,300.29999999999995,0.0
0.0,14.700000000000001,19.6,53.699999999999996,117.0,809.3000000000001,48.8
0.0,72.5,62.099999999999994,103.60000000000001,134.7,1439.2,51.8
2.4,33.6,38.400000000000006,50.4,105.60000000000001,1179.5,62.4
0.0,0.0,0.0,13.3,0.0,0.0,0.0
0.0,0.0,0.0,39.900000000000006,39.900000000000006,172.9,26.6
13.9,13.9,0.0,83.4,236.2,1389.3999999999999,41.7
0.0,0.0,150.2,75.1,525.9,1277.2,0.0
3.7,7.3,40.3,213.1,418.90000000000003,1098.8,80.7
0.0,0.0,0.0,25.4,0.0,254.0,0.0
0.0,0.0,0.0,0.0,74.1,852.4,0.0
0.0,0.0,0.0,61.0,30.5,457.29999999999995,61.0
0.0,102.89999999999999,68.6,171.5,194.29999999999998,1496.6999999999998,125.69999999999999
0.0,0.0,23.2,23.2,197.7,2802.6,58.099999999999994
0.0,0.0,0.0,100.3,0.0,501.5,0.0
0.0,15.0,15.0,15.0,105.1,705.5,60.0
