#,Zip Code,Location,City,Population,Avg. Income/H/hold,National Rank
74,8824,"40.420727, -74.553458","Kendall Park, New Jersey",11777,"$89,354.00",#473
75,7871,"41.046696, -74.627989","Sparta, New Jersey",19148,"$89,313.00",#476
76,8510,"40.182665, -74.432516","Millstone Township, New Jersey",2128,"$88,575.00",#494
77,7932,"40.779422, -74.394280","Florham Park, New Jersey",8588,"$88,555.00",#495
78,7446,"41.059136, -74.145931","Ramsey, New Jersey",14379,"$88,318.00",#501
79,7711,"40.234394, -73.999505","Allenhurst, New Jersey",1934,"$88,021.00",#509
80,7703,"40.312218, -74.045577","Fort Monmouth, New Jersey",439,"$87,669.00",#524
81,7876,"40.854699, -74.656097","Succasunna, New Jersey",11171,"$87,458.00",#540
82,8003,"39.885852, -74.971145","Cherry Hill, New Jersey",30714,"$87,248.00",#547
83,7702,"40.326064, -74.059667","Shrewsbury, New Jersey",3590,"$86,911.00",#562
84,7656,"41.034672, -74.040797","Park Ridge, New Jersey",8708,"$86,632.00",#571
85,7436,"41.029980, -74.243842","Oakland, New Jersey",12466,"$86,629.00",#572
86,8807,"40.595055, -74.622386","Bridgewater, New Jersey",36314,"$86,517.00",#576
87,8886,"40.687677, -75.101254","Stewartsville, New Jersey",4854,"$86,131.00",#590
88,8820,"40.576806, -74.365750","Edison, New Jersey",37543,"$85,927.00",#595
89,7624,"40.970754, -73.949679","Closter, New Jersey",8912,"$85,485.00",#605
90,7023,"40.641703, -74.385714","Fanwood, New Jersey",7174,"$85,233.00",#609
91,7626,"40.939786, -73.958581","Cresskill, New Jersey",7746,"$84,692.00",#634
92,7041,"40.737406, -74.298021","Millburn, New Jersey",6880,"$84,654.00",#635
93,8559,"40.429224, -74.979065","Stockton, New Jersey",5184,"$83,819.00",#660
94,7470,"40.955587, -74.251598","Wayne, New Jersey",54069,"$83,651.00",#666
95,7004,"40.882508, -74.304593","Fairfield, New Jersey",7063,"$83,120.00",#681
96,7940,"40.760545, -74.427358","Madison, New Jersey",16571,"$82,915.00",#688
97,7642,"41.007127, -74.045119","Hillsdale, New Jersey",10087,"$82,904.00",#690
98,7079,"40.748937, -74.265047","South Orange, New Jersey",17083,"$82,865.00",#694
99,7675,"41.024281, -73.992516","Westwood, New Jersey",40613,"$82,723.00",#703
100,7927,"40.822778, -74.453743","Cedar Knolls, New Jersey",3163,"$82,453.00",#713
101,7068,"40.820559, -74.307403","Roseland, New Jersey",5309,"$82,323.00",#716
102,8011,"39.974297, -74.713197","Birmingham, New Jersey",57,"$82,204.00",#724
103,7006,"40.849747, -74.282597","Caldwell, New Jersey",26192,"$82,196.00",#725
104,7936,"40.820548, -74.363507","East Hanover, New Jersey",11393,"$82,133.00",#730
105,7418,"41.241915, -74.489591","Glenwood, New Jersey",2751,"$82,055.00",#738
106,7878,"40.870682, -74.479043","Mount Tabor, New Jersey",774,"$81,970.00",#740
107,8055,"39.878650, -74.826672","Medford, New Jersey",27069,"$81,863.00",#748
108,7933,"40.695654, -74.472424","Gillette, New Jersey",3278,"$81,862.00",#749
109,7726,"40.273201, -74.364305","Englishtown, New Jersey",40339,"$81,806.00",#750
110,7456,"41.111972, -74.265223","Ringwood, New Jersey",12396,"$81,636.00",#755
111,7960,"40.779262, -74.502462","Morristown, New Jersey",43409,"$81,621.00",#756
112,7750,"40.333197, -73.981080","Monmouth Beach, New Jersey",3595,"$80,484.00",#814
113,8313,"39.530841, -75.229590","Deerfield Street, New Jersey",147,"$80,320.00",#824
