ORINumber,City,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft
NJ0050600,MIDDLE TWSP PD,18358.0,0.0,49.0,65.4,163.4,430.3,1639.6,76.3
NJ0050700,NORTH WILDWOOD CITY PD,3816.0,0.0,52.4,26.2,262.1,602.7,3773.6,0.0
NJ0050800,OCEAN CITY PD,11138.0,0.0,0.0,0.0,44.9,296.3,2235.6,9.0
NJ0050900,SEA ISLE CITY PD,2061.0,0.0,0.0,145.6,0.0,1116.0,3881.6,0.0
NJ0051000,STONE HARBOR BORO PD,816.0,0.0,0.0,0.0,0.0,980.4,6617.6,122.5
NJ0051200,WEST CAPE MAY BORO PD,1015.0,0.0,0.0,0.0,98.5,295.6,985.2,0.0
NJ0051300,WEST WILDWOOD BORO PD,561.0,0.0,0.0,0.0,0.0,178.3,713.0,178.3
NJ0051500,WILDWOOD CREST BORO PD,3116.0,0.0,0.0,0.0,224.6,609.8,1347.9,0.0
NJ0051400,WILDWOOD PD,5035.0,0.0,19.9,198.6,576.0,774.6,5342.6,119.2
NJ0060100,BRIDGETON PD,24386.0,20.5,49.2,438.8,324.0,668.4,2091.4,192.7
NJ0061000,MILLVILLE PD,27837.0,10.8,25.1,158.1,262.2,535.3,3739.6,97.0
NJ0061400,VINELAND PD,60330.0,1.7,36.5,97.8,291.7,661.4,2592.4,96.1
NJ0070100,BELLEVILLE PD,36075.0,0.0,2.8,47.1,122.0,241.2,1147.6,243.9
NJ0070200,BLOOMFIELD PD,50777.0,3.9,2.0,37.4,55.1,139.8,961.1,173.3
NJ0070300,CALDWELL PD,7999.0,0.0,25.0,0.0,37.5,200.0,387.5,25.0
NJ0070500,CEDAR GROVE PD,12566.0,0.0,0.0,15.9,15.9,135.3,501.4,47.7
NJ0070600,EAST ORANGE PD,64625.0,9.3,32.5,205.8,267.7,260.0,807.7,331.1
NJ0073100,ESSEX COUNTY COLLEGE PD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ0070700,ESSEX FELLS PD,2109.0,0.0,0.0,0.0,0.0,0.0,521.6,189.7
NJ0070400,FAIRFIELD PD,7528.0,0.0,0.0,26.6,66.4,119.6,1979.3,239.1
NJ0070800,GLEN RIDGE PD,7622.0,0.0,0.0,13.1,0.0,314.9,1587.5,170.6
NJ0070900,IRVINGTON PD,54220.0,9.2,44.3,402.1,197.3,422.4,1209.9,723.0
NJ0071000,LIVINGSTON PD,29820.0,0.0,6.7,10.1,60.4,73.8,798.1,57.0
NJ0071100,MAPLEWOOD PD,24635.0,4.1,8.1,48.7,28.4,174.5,1181.2,243.6
NJ0071200,MILLBURN PD,20250.0,0.0,0.0,39.5,0.0,133.3,1604.9,84.0
NJ0071300,MONTCLAIR PD,38893.0,7.7,25.7,12.9,48.9,282.8,899.9,108.0
NJ0072800,MONTCLAIR STATE COLLEGE PD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJNPD0000,NEWARK PD,282258.0,26.6,53.1,244.1,409.2,294.8,1001.6,713.9
NJ0071500,NORTH CALDWELL PD,6716.0,0.0,0.0,0.0,0.0,0.0,178.7,29.8
NJ0071600,NUTLEY PD,28596.0,0.0,7.0,14.0,73.4,94.4,521.1,73.4
NJ0071700,ORANGE PD,30449.0,19.7,32.8,505.8,183.9,617.4,1349.8,568.2
NJ0071800,ROSELAND PD,5867.0,0.0,0.0,0.0,17.0,102.3,323.8,102.3
NJ0071900,SOUTH ORANGE PD,16880.0,0.0,0.0,59.2,71.1,225.1,1356.6,154.0
NJ0072000,VERONA PD,13437.0,0.0,0.0,0.0,0.0,111.6,506.1,44.7
NJ0072100,WEST CALDWELL PD,10912.0,0.0,0.0,0.0,18.3,45.8,522.4,55.0
NJ0072200,WEST ORANGE PD,48071.0,2.1,27.0,49.9,110.3,168.5,961.1,149.8
NJ0080100,CLAYTON PD,8624.0,0.0,11.6,34.8,69.6,81.2,672.5,58.0
NJ0080200,DEPTFORD TWP PD,30137.0,6.6,26.5,73.0,49.8,540.9,3165.5,119.5
NJ0080300,EAST GREENWICH TWP PD,10504.0,0.0,0.0,0.0,38.1,114.2,476.0,57.1
NJ0080400,ELK TWP PD,4116.0,0.0,0.0,0.0,24.3,170.1,631.7,24.3
NJ0080500,FRANKLIN TWP PD,16225.0,0.0,0.0,18.5,37.0,320.5,1053.9,80.1
NJ0080600,GLASSBORO PD,19938.0,0.0,15.0,50.2,125.4,346.1,1253.9,40.1
NJ0080700,GREENWICH TWP PD,4769.0,0.0,0.0,21.0,125.8,146.8,1174.3,104.8
NJ0080800,HARRISON TWP PD,12915.0,0.0,7.7,7.7,0.0,100.7,410.4,7.7
NJ0080900,LOGAN TWP PD,5844.0,0.0,0.0,51.3,34.2,205.3,1642.7,119.8
NJ0081000,MANTUA TWP PD,14772.0,0.0,0.0,20.3,27.1,277.6,920.7,88.0
NJ0081100,MONROE TWP PD,36498.0,5.5,19.2,32.9,71.2,287.7,917.9,60.3
NJ0081200,NATIONAL PARK PD,2934.0,0.0,0.0,0.0,0.0,68.2,1056.6,68.2
NJ0081300,NEWFIELD PD,1535.0,0.0,0.0,0.0,0.0,130.3,716.6,65.1
NJ0081400,PAULSBORO PD,5812.0,34.4,0.0,137.6,103.2,1015.1,2202.3,154.9
NJ0081500,PITMAN PD,8696.0,11.5,0.0,11.5,23.0,103.5,437.0,11.5
NJ0081600,SOUTH HARRISON PD,3118.0,0.0,0.0,0.0,0.0,96.2,256.6,64.1
NJ0081700,SWEDESBORO PD,2557.0,0.0,0.0,39.1,0.0,39.1,469.3,39.1
NJ0081800,WASHINGTON TWP PD,47024.0,2.1,2.1,21.3,114.8,155.2,984.6,38.3
NJ0081900,WENONAH PD,2201.0,0.0,0.0,0.0,136.3,318.0,181.7,90.9
NJ0082000,WEST DEPTFORD TWP PD,20889.0,0.0,9.6,19.1,62.2,349.5,971.8,67.0
NJ0082100,WESTVILLE PD,4121.0,0.0,0.0,48.5,72.8,533.9,2038.3,291.2
NJ0082200,WOODBURY CITY PD,9746.0,10.3,0.0,287.3,246.3,666.9,3365.5,307.8
NJ0082300,WOODBURY HEIGHTS PD,2944.0,0.0,0.0,0.0,0.0,135.9,1460.6,169.8
NJ0082400,WOOLWICH TWP PD,12636.0,0.0,0.0,0.0,0.0,23.7,340.3,31.7
NJ0090100,BAYONNE PD,66824.0,0.0,18.0,70.3,82.3,145.2,878.4,133.2
NJ0090200,EAST NEWARK PD,2740.0,0.0,0.0,36.5,0.0,146.0,1094.9,365.0
NJ0090300,GUTTENBERG PD,11602.0,8.6,43.1,86.2,103.4,172.4,637.8,43.1
NJ0090400,HARRISON PD,18058.0,5.5,27.7,60.9,132.9,249.2,1434.3,382.1
NJ0090500,HOBOKEN PD,55096.0,0.0,7.3,41.7,167.0,179.7,1317.7,67.2
NJ0090600,JERSEY CITY PD,270175.0,6.3,32.9,169.5,247.6,365.7,1180.7,223.2
NJ0090700,KEARNY PD,42339.0,0.0,2.4,23.6,63.8,144.1,1292.0,163.0
NJ0090800,NORTH BERGEN PD,63166.0,0.0,30.1,42.7,82.3,110.8,478.1,99.7
NJ0090900,SECAUCUS PD,20482.0,0.0,0.0,68.4,78.1,156.2,2309.3,102.5
NJ0091000,UNION CITY PD,69950.0,2.9,0.0,108.6,221.6,135.8,1278.1,127.2
NJ0091100,WEEHAWKEN PD,15567.0,0.0,0.0,45.0,102.8,154.2,1169.1,109.2
NJ0091200,WEST NEW YORK PD,54095.0,1.8,12.9,112.8,127.6,170.1,830.0,48.1
NJ0100500,CLINTON TOWN PD,2699.0,0.0,0.0,0.0,37.1,185.3,259.4,37.1
NJ0100600,CLINTON TWP PD,12824.0,0.0,7.8,0.0,0.0,117.0,265.1,7.8
NJ0100700,DELAWARE TWP PD,4461.0,0.0,0.0,0.0,22.4,44.8,201.7,67.2
NJ0100900,FLEMINGTON PD,4627.0,0.0,21.6,43.2,21.6,216.1,1080.6,86.4
NJ0101000,FRANKLIN TWP PD,3238.0,0.0,0.0,0.0,0.0,92.6,833.8,0.0
NJ0101100,FRENCHTOWN BORO PD,1363.0,0.0,0.0,0.0,73.4,0.0,0.0,0.0
NJ0101400,HIGH BRIDGE BORO PD,3528.0,0.0,0.0,0.0,113.4,226.8,368.5,0.0
NJ0101500,HOLLAND TWP PD,5128.0,0.0,39.0,0.0,39.0,39.0,117.0,19.5
NJ0101700,LAMBERTVILLE CITY PD,3811.0,0.0,0.0,0.0,52.5,131.2,892.2,131.2
NJ0101900,LEBANON TWP PD,6070.0,0.0,0.0,0.0,49.4,214.2,247.1,0.0
NJ0102100,RARITAN TWP PD,22092.0,0.0,0.0,9.1,13.6,36.2,380.2,13.6
NJ0102200,READINGTON PD,15941.0,6.3,0.0,0.0,6.3,100.4,376.4,37.6
NJ0102400,TEWKSBURY TWP PD,5825.0,0.0,0.0,0.0,0.0,51.5,137.3,17.2
NJ0102600,WEST AMWELL TWP PD,2757.0,0.0,36.3,0.0,36.3,253.9,326.4,0.0
NJ0110100,EAST WINDSOR TWP PD,27401.0,0.0,18.2,29.2,18.2,25.5,583.9,14.6
NJ0110200,EWING TWP PD,36142.0,0.0,36.0,49.8,105.1,312.7,1413.9,168.8
NJ0110300,HAMILTON TWP PD,87889.0,4.6,13.7,56.9,56.9,369.8,1474.6,89.9
NJ0110400,HIGHTSTOWN PD,5289.0,0.0,18.9,0.0,0.0,113.4,529.4,0.0
NJ0110600,HOPEWELL TWP PD,18000.0,0.0,27.8,5.6,11.1,100.0,322.2,0.0
NJ0110700,LAWRENCE TWP PD,32644.0,0.0,18.4,18.4,55.1,165.4,1620.5,39.8
NJ0110800,PENNINGTON BORO PD,2554.0,0.0,39.2,0.0,0.0,0.0,195.8,0.0
NJ0111000,PRINCETON PD,31856.0,0.0,0.0,9.4,25.1,135.0,530.5,37.7
NJ0111100,TRENTON PD,83753.0,19.1,47.8,407.1,686.5,921.8,1572.5,450.1
NJ0111300,WEST WINDSOR TWP PD,28277.0,0.0,7.1,10.6,21.2,169.7,859.4,24.8
NJ0120100,CARTERET PD,23921.0,4.2,16.7,62.7,104.5,146.3,986.6,100.3
NJ0120200,CRANBURY TWP PD,3900.0,0.0,0.0,0.0,0.0,25.6,897.4,25.6
NJ0120300,DUNELLEN PD,7328.0,0.0,0.0,13.6,27.3,191.0,1119.0,13.6
NJ0120400,EAST BRUNSWICK TWP PD,48342.0,0.0,8.3,16.5,41.4,144.8,1143.9,18.6
NJ0120500,EDISON TWP PD,101309.0,2.0,7.9,43.4,65.1,163.9,887.4,80.9
NJ0120600,HELMETTA PD,2198.0,0.0,0.0,0.0,0.0,0.0,364.0,0.0
NJ0120700,HIGHLAND PARK PD,13989.0,7.1,0.0,7.1,42.9,143.0,1007.9,35.7
NJ0120800,JAMESBURG PD,6006.0,0.0,16.7,33.3,33.3,166.5,749.3,16.7
NJ0121000,METUCHEN PD,14262.0,0.0,0.0,21.0,14.0,140.2,715.2,42.1
