Zip Code,2018 Rank,2018 Avg Score
7001,784.3333333333334,35.02019666666666
7002,533.6086956521739,50.18398086956522
7003,566.0,53.737365999999994
7004,101.0,89.23321999999999
7005,226.0,75.02307666666665
7006,178.27272727272728,77.25235909090908
7008,711.0,33.197254
7009,176.0,74.68154249999999
7010,351.0,64.79810833333333
7011,767.6666666666666,41.52125888888889
7012,451.0,69.508825
7013,551.0,49.73969499999999
7014,301.0,78.06528
7016,158.14285714285714,80.44059571428572
7017,764.3333333333334,31.155417333333332
7018,941.0,27.950238000000002
7020,601.0,59.11249
7021,1.0,98.61146
7022,876.0,19.60237
7024,226.0,75.002605
7026,555.5454545454545,49.33139818181819
7027,426.0,62.0313
7028,34.333333333333336,91.51178333333333
7029,591.0,38.36463
7030,289.46153846153845,67.03724307692309
7031,411.0,57.569047999999995
7032,678.7777777777778,39.97459666666666
7033,551.0,32.99374333333333
7034,226.0,82.31776500000001
7035,201.0,81.25757
7036,724.0769230769231,36.75913307692308
7039,51.0,93.15131
7040,351.0,66.98537666666667
7041,13.5,96.154235
7042,336.0,67.64991699999999
7044,317.6666666666667,69.66838499999999
7045,51.0,93.02054249999999
7046,13.5,92.48447999999999
7047,674.0769230769231,35.416050000000006
7050,726.0,29.514160625
7052,416.0,60.894776
7054,219.75,79.066505
7055,846.8333333333334,16.156282499999996
7057,438.5,51.773675000000004
7058,51.0,92.38975
7059,131.0,82.55023
7060,776.0,23.56701111111111
7062,961.0,13.814706000000001
7063,676.0,37.72948499999999
7064,951.0,33.52258
7065,792.6666666666666,27.991508333333332
7066,263.5,68.02308749999999
7067,509.3333333333333,54.05730833333333
7068,151.0,86.58081999999999
7069,101.0,86.611205
7070,438.5,56.75987
7071,351.0,56.818016
7072,576.0,47.249584999999996
7073,334.3333333333333,54.94017666666667
7074,301.0,71.63664499999999
7075,234.33333333333334,59.89660666666666
7076,108.6923076923077,87.18457
7077,1001.0,28.54737
7078,1.0,98.61146000000001
7079,301.0,71.63664499999999
7080,317.6666666666667,67.906125
7081,263.5,65.3425675
7082,201.0,83.40661
7083,478.77777777777777,56.72884555555555
7086,534.3333333333334,37.47221666666667
7087,585.6153846153846,52.718805384615365
7090,123.22222222222223,88.46341555555557
7092,76.0,92.34626999999999
7093,776.0,34.699523
7094,341.0,58.01262799999999
7095,511.0,45.012874
7102,376.0,54.45700650000001
7103,729.2608695652174,21.801643478260868
7104,719.1818181818181,35.23607136363637
7105,637.3636363636364,36.52238818181818
7106,838.5,22.7663175
7107,686.0,36.711304999999996
7108,769.1818181818181,17.008826363636366
7109,678.7777777777778,42.59010000000001
7110,286.7142857142857,73.91712285714286
7111,1021.8333333333334,14.497755833333331
7112,830.1666666666666,13.330072500000002
7114,351.0,52.88907
7201,772.4285714285714,20.918231428571428
7202,586.7142857142857,33.60020238095238
7203,811.0,22.593044000000003
7204,441.0,57.2001
