,School ID,School Name,City,Zip Code,Address,2018 Rank,2018 Rank Stars,2018 Rank Level,2018 Avg Score,2019 Rank,2019 Rank Stars,2019 Rank Level,2019 Avg Score,2019 Student Count,Low Grade,High Grade,School Level
41,340933000588,Betsy Ross Elementary,Mahwah,07430,20 Malcolm Rd,1,5,Elementary,98.61146,1,5,Elementary,98.13338,,K,3,Elementary
42,340927003524,Walter M. Schirra Elementary School,Old Bridge,08857,One Awn St,1,5,Elementary,98.61146,1,5,Elementary,98.13338,,K,5,Elementary
43,340483002082,Essex Fells Elementary School,Essex Fells,07021,102 Hawthorne Rd,1,5,Elementary,98.61146,1,5,Elementary,98.13338,,PK,6,Elementary
44,340537000460,High Mountain Road School,Franklin Lakes,07417,765 High Mountain Road,1,5,Elementary,98.61146,1,5,Elementary,98.13338,,PK,5,Elementary
45,340153005440,Mountain Park School,Berkeley Hts,07922,55 Fairfax Dr,1,5,Elementary,98.61146,1,5,Elementary,98.13338,,2,5,Elementary
46,341662000882,Edith A. Bogert Elementary School,Upper Saddle River,07458,391 W  Saddle River Rd,1,5,Elementary,98.61146,1,5,Elementary,98.13338,,3,5,Elementary
47,340357005466,Brookside Place School,Cranford,07016,700 Brookside Place,1,5,Elementary,98.61146,1,5,Elementary,98.13338,,K,5,Elementary
48,340342001486,Zane North Elementary School,Collingswood,08108,801 Stokes Avenue,1,5,Elementary,98.61146,1,5,Elementary,98.13338,,PK,5,Elementary
49,340882002138,Hillside Elementary School,Livingston,07039,98 Belmont Drive,1,5,Elementary,98.61146,1,5,Elementary,98.13338,,K,5,Elementary
0,340732000530,Ho-Ho-Kus Public School,Ho Ho Kus,07423,70 Lloyd Road,51,5,Elementary,92.38975,17,5,Elementary,95.31042,590.0,PK,8,Elementary
1,341776005770,Franklin Elementary School,Westfield,07090,700 Prospect Street,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,1,5,Elementary
2,340073503055,Hatikvah International Academy Charter School,East Brunswick,08816,7 Lexington Avenue,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,8,Elementary
3,341386004946,Peter Cooper School,Ringwood,07456,54 Roger Court,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,PK,3,Elementary
4,341020000230,South Mountain School,Millburn,07041,2 Southern Slope Drive,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,PK,4,Elementary
5,340087000228,Alpine Elementary School,Alpine,07620,500 Hillside Avenue,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,8,Elementary
6,341131005600,Salt Brook School,New Providence,07974,40 Maple St,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,6,Elementary
7,341611000870,Ralph S Maugham School,Tenafly,07670,111 Magnolia Avenue,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
8,340498000420,Lyncrest Elementary School,Fair Lawn,07410,9-04 Morlot Ave,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
9,340972003946,Frank Defino Central Elementary School,Marlboro,07746,175 Route 79 North,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
10,340300001450,Joseph D. Sharp Elementary School,Cherry Hill,08003,300 Old Orchard Rd.,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
11,341581001754,Stone Harbor Elementary School,Stone Harbor,08247,275 93rd St,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,4,Elementary
12,340882002140,Mount Pleasant Elementary School,Livingston,07039,11 Broadlawn Dr,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
13,340597000488,Central School,Glen Rock,07452,600 S Maple Ave,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
14,340498000430,Westmoreland Elementary School,Fair Lawn,07410,16-50 Parmelee Ave.,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,PK,5,Elementary
15,341065004344,Woodmont School,Pine Brook,07058,39 Woodmont Road,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
16,340498000422,Radburn Elementary School,Fair Lawn,07410,18-00 Radburn Rd,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
17,340153005434,Thomas P. Hughes School,Berkeley Hts,07922,446 Snyder Ave,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,2,5,Elementary
18,340696000520,Haworth Public School,Haworth,07641,205 Valley Rd,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,8,Elementary
19,341248004452,Northvail Elementary School,Parsippany,07054,10 Eileen Court,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
20,340873000525,Little Falls Township Public School # 3,Little Falls,07424,560 MainStreet,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,3,4,Elementary
21,341131005594,Allen W. Roberts School,New Providence,07974,80 Jones Dr,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,PK,6,Elementary
22,340076703251,Jersey City Global Charter School,Jersey City,07307,255 Congress Street,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,7,Elementary
23,340300001456,Richard Stockton Elementary School,Cherry Hill,08003,200 Wexford Dr.,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
24,340684000508,Harrington Park School,Harrington Park,07640,191 Harriot Ave,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,PK,8,Elementary
25,340753000503,Stony Brook Elementary School,Pennington,08534,20 Stephenson Road,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
26,340981000604,Memorial,Maywood,07607,764 Grant Ave,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,PK,3,Elementary
27,340672004260,Harding Township School,New Vernon,07976,34 Lees Hill Road,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,PK,8,Elementary
28,340261002962,Califon Elementary,Califon,07830,6 School Street,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,PK,8,Elementary
29,340000406017,Milton Avenue School,Chatham,07928,16 Milton Avenue,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,PK,3,Elementary
30,340531000444,School No. 1,Fort Lee,07024,250 Hoym Street,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,6,Elementary
31,340450003354,Martin Luther King Elementary School,Edison,08820,285 Tingley Lane,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
32,341224000678,Oradell Public School,Oradell,07649,350 Propect Avenue,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,PK,6,Elementary
